Phone_Name,Phone_Price,Ratings,Number_Of_Reviews
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage)","19,999",4.3 out of 5 stars,63
"Oneplus Nord CE4 (Celadon Marble, 8GB RAM, 128Gb Storage)","24,998",4.3 out of 5 stars,"2,639"
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499",4.1 out of 5 stars,"5,420"
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499",4.1 out of 5 stars,"5,420"
POCO C65 (Pastel Blue 4GB RAM 128GB Storage),"6,999",3.9 out of 5 stars,930
POCO C65 (Pastel Blue 6GB RAM 128GB Storage),"7,498",3.9 out of 5 stars,930
"realme NARZO N63 (Twilight Purple,4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","8,998",4.3 out of 5 stars,145
"Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,698",4.1 out of 5 stars,"5,420"
POCO C65 (Matte Black 4GB RAM 128GB Storage),"6,999",3.9 out of 5 stars,930
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","7,698",4.1 out of 5 stars,"5,420"
"POCO X6 5G (Snowstorm White, 12 GB RAM 256 GB Storage)","19,998",4.0 out of 5 stars,341
Apple iPhone 15 (128 GB) - Black,"70,999",4.5 out of 5 stars,"1,818"
POCO C65 (Pastel Green 4GB RAM 128GB Storage),"6,999",3.9 out of 5 stars,930
"Nothing Phone (2a) 5G (Black, 8GB RAM, 256GB Storage)","25,649",4.1 out of 5 stars,60
"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 256GB Storage)","22,999",4.3 out of 5 stars,63
"realme NARZO N63 (Leather Blue, 4GB RAM+128GB Storage) 45W Fast Charge | 5000mAh Durable Battery | 7.74mm Ultra Slim | 50MP AI Camera | AI Boost","8,999",4.3 out of 5 stars,145
"Redmi 13C 5G (Starlight Black, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,499",4.0 out of 5 stars,"1,102"
"realme NARZO 70 5G（Ice Blue,6GB RAM, 128GB Storage | Dimensity 7050 5G Chipset | 120Hz AMOLED Display | 50MP Primary Camera | 45W Charger in The Box","15,998",4.1 out of 5 stars,463
"Redmi A3 (Midnight Black, 3GB RAM, 64GB Storage) | Premium Halo Design | 90Hz Display | Powerful 4G G36 Processor","6,999",3.5 out of 5 stars,285
"Redmi 13C (Starfrost White, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera","8,499",4.1 out of 5 stars,"5,420"
POCO C65 (Matte Black 4GB RAM 128GB Storage),"6,999",3.9 out of 5 stars,930
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 256GB Storage)","1,29,999",4.4 out of 5 stars,235
